DATE ,EXPIRY DATE ,OPTION TYPE ,STRIKE PRICE ,OPEN PRICE ,HIGH PRICE ,LOW PRICE ,CLOSE PRICE ,LAST PRICE ,SETTLE PRICE ,Volume ,VALUE ,PREMIUM VALUE ,OPEN INTEREST ,CHANGE IN OI 
25-Jul-2025,31-Jul-2025,CE,25050.0,121.2,121.20,47.15,51.75,50.8,51.75,69537675,1746836217412.5,4917458662.5,3119925,1890075
24-Jul-2025,31-Jul-2025,CE,25050.0,268.95,268.95,138.0,148.8,143.35,148.8,9865425,248688567840.0,1559671590.0,1229850,961800
23-Jul-2025,31-Jul-2025,CE,25050.0,188.8,268.15,176.3,263.25,261.0,263.25,1821150,46015224498.75,395416998.75,268050,177750
22-Jul-2025,31-Jul-2025,CE,25050.0,231.0,246.45,163.65,171.05,168.05,171.05,2089575,52740050820.0,396197070.0,445800,88725
21-Jul-2025,31-Jul-2025,CE,25050.0,179.95,218.60,119.05,207.05,210.0,207.05,3451200,87099412890.0,646852890.0,357075,171675
18-Jul-2025,31-Jul-2025,CE,25050.0,261.8,262.10,164.0,183.4,182.8,183.4,1022250,25801930380.0,194567880.0,185400,131250
17-Jul-2025,31-Jul-2025,CE,25050.0,320.5,326.05,260.0,267.15,266.75,267.15,127125,3221199105.0,36717855.0,54150,8850
16-Jul-2025,31-Jul-2025,CE,25050.0,314.95,352.00,277.45,321.8,315.7,321.8,141975,3600242613.75,43768863.75,45300,8850
15-Jul-2025,31-Jul-2025,CE,25050.0,314.0,384.95,288.1,350.25,354.3,350.25,163125,4139902890.0,53621640.0,54150,16500
14-Jul-2025,31-Jul-2025,CE,25050.0,323.95,333.00,257.85,305.4,294.5,305.4,361500,9160140821.25,104565821.25,70650,27975
11-Jul-2025,31-Jul-2025,CE,25050.0,423.8,457.25,342.9,352.45,349.4,352.45,71325,1814249655.0,27558405.0,42675,3750
10-Jul-2025,31-Jul-2025,CE,25050.0,602.4,606.20,491.15,496.35,496.2,496.35,10725,274403430.0,5742180.0,38925,2025
09-Jul-2025,31-Jul-2025,CE,25050.0,657.9,671.25,586.9,615.95,617.9,615.95,14925,383325765.0,9454515.0,36900,75
08-Jul-2025,31-Jul-2025,CE,25050.0,616.95,685.50,601.25,677.85,679.05,677.85,5325,136812378.75,3421128.75,36825,300
07-Jul-2025,31-Jul-2025,CE,25050.0,596.55,640.35,595.9,627.95,626.0,627.95,3975,102031140.0,2457390.0,37125,75
04-Jul-2025,31-Jul-2025,CE,25050.0,620.1,637.50,546.05,634.85,634.1,634.85,7950,203860912.5,4713412.5,37200,525
03-Jul-2025,31-Jul-2025,CE,25050.0,671.4,730.00,614.7,620.65,620.25,620.65,11250,289284543.75,7472043.75,37725,150
02-Jul-2025,31-Jul-2025,CE,25050.0,766.0,774.95,618.0,653.75,653.95,653.75,9225,237199530.0,6113280.0,37575,2400
01-Jul-2025,31-Jul-2025,CE,25050.0,744.15,773.20,712.95,742.45,744.15,742.45,3750,96734707.5,2797207.5,39975,450
30-Jun-2025,31-Jul-2025,CE,25050.0,851.75,851.75,706.5,730.6,730.7,730.6,22800,587610266.25,16470266.25,39525,16350
27-Jun-2025,31-Jul-2025,CE,25050.0,811.05,856.15,762.95,836.9,841.05,836.9,11550,298605390.0,9277890.0,23175,375
26-Jun-2025,31-Jul-2025,CE,25050.0,581.4,753.95,581.4,737.35,732.5,737.35,25725,661817253.75,17406003.75,22800,6375
25-Jun-2025,31-Jul-2025,CE,25050.0,530.0,604.35,494.2,568.7,568.5,568.7,21750,556814913.75,11977413.75,29175,3000
24-Jun-2025,31-Jul-2025,CE,25050.0,555.0,656.20,467.3,481.45,493.0,481.45,74625,1909877872.5,40521622.5,32175,675
23-Jun-2025,31-Jul-2025,CE,25050.0,463.75,510.50,379.3,451.85,449.1,451.85,88800,2262625511.25,38185511.25,31500,7500
20-Jun-2025,31-Jul-2025,CE,25050.0,407.85,535.85,380.25,521.65,514.25,521.65,41400,1056912322.5,19842322.5,24000,4575
19-Jun-2025,31-Jul-2025,CE,25050.0,388.55,420.90,366.2,386.7,366.2,386.7,26325,669867296.25,10426046.25,19425,6450
18-Jun-2025,31-Jul-2025,CE,25050.0,425.95,493.00,396.15,406.85,407.05,406.85,15825,403325643.75,6909393.75,12975,2550
17-Jun-2025,31-Jul-2025,CE,25050.0,484.0,499.00,435.2,441.5,438.9,441.5,7800,199000822.5,3610822.5,10425,975
16-Jun-2025,31-Jul-2025,CE,25050.0,421.95,540.25,414.3,531.0,536.95,531.0,24150,617038548.75,12081048.75,11400,5550
13-Jun-2025,31-Jul-2025,CE,25050.0,393.0,430.85,385.55,412.55,422.2,412.55,19425,494519643.75,7923393.75,5850,750
12-Jun-2025,31-Jul-2025,CE,25050.0,662.7,662.70,494.65,501.3,497.35,501.3,18375,470414163.75,10120413.75,5100,2625
11-Jun-2025,31-Jul-2025,CE,25050.0,670.0,710.90,661.75,665.2,664.85,665.2,4350,111921532.5,2954032.5,2475,75
10-Jun-2025,31-Jul-2025,CE,25050.0,674.05,674.05,669.15,669.15,669.15,781.4,150,3858240.0,100740.0,2400,75
09-Jun-2025,31-Jul-2025,CE,25050.0,686.95,686.95,679.2,680.9,685.95,680.9,375,9649541.25,255791.25,2475,0
06-Jun-2025,31-Jul-2025,CE,25050.0,541.0,680.00,505.1,651.6,653.2,651.6,2850,73194802.5,1802302.5,2475,1275
05-Jun-2025,31-Jul-2025,CE,25050.0,523.5,583.30,523.5,541.0,541.0,642.1,2025,51872696.25,1146446.25,3750,975
04-Jun-2025,31-Jul-2025,CE,25050.0,488.0,488.00,488.0,488.0,488.0,587.8,75,1915350.0,36600.0,2775,0
03-Jun-2025,31-Jul-2025,CE,25050.0,489.65,491.05,470.0,483.75,470.0,483.75,2700,68942017.5,1307017.5,2775,825
02-Jun-2025,31-Jul-2025,CE,25050.0,494.75,595.85,467.3,565.9,565.9,653.35,2325,59468827.5,1227577.5,3600,75
30-May-2025,31-Jul-2025,CE,25050.0,587.95,587.95,584.0,584.0,584.0,695.8,675,17304431.25,395681.25,3525,675
29-May-2025,31-Jul-2025,CE,25050.0,636.0,636.00,636.0,636.0,636.0,748.5,75,1926450.0,47700.0,4200,75
28-May-2025,31-Jul-2025,CE,25050.0,658.0,658.00,635.35,635.85,635.85,715.65,300,7707378.75,192378.75,4275,225
27-May-2025,31-Jul-2025,CE,25050.0,720.0,745.00,653.05,657.8,657.8,763.45,375,9656876.25,263126.25,4050,75
26-May-2025,31-Jul-2025,CE,25050.0,768.75,796.05,740.0,764.1,764.1,868.5,750,19365393.75,577893.75,3975,225
23-May-2025,31-Jul-2025,CE,25050.0,650.0,700.05,638.45,664.0,664.0,664.0,975,25064171.25,640421.25,4200,225
22-May-2025,31-Jul-2025,CE,25050.0,582.55,585.45,520.85,520.9,520.9,693.35,3000,76758945.0,1608945.0,4425,1950
21-May-2025,31-Jul-2025,CE,25050.0,683.75,683.75,683.75,683.75,683.75,805.85,75,1930031.25,51281.25,2475,75
20-May-2025,31-Jul-2025,CE,25050.0,749.5,749.5,749.5,749.5,749.5,747.5,0,0.0,0.0,2400,0
19-May-2025,31-Jul-2025,CE,25050.0,845.3,845.30,749.5,749.5,749.5,894.2,900,23250813.75,705813.75,2400,375
16-May-2025,31-Jul-2025,CE,25050.0,811.15,847.40,782.2,824.7,824.7,961.55,825,21332445.0,666195.0,2025,300
15-May-2025,31-Jul-2025,CE,25050.0,796.85,796.85,782.0,791.4,782.0,791.4,225,5814307.5,178057.5,1725,225
14-May-2025,31-Jul-2025,CE,25050.0,623.1,623.25,622.3,622.85,622.3,622.85,300,7701843.75,186843.75,1500,300
